year,count_date,DOY,Chinook,Chum,Coho,Dolly,Pink,Sockeye,Steelhead
2013,7/2/2013,183,1,0,NA,1,1,126,3
2013,7/3/2013,184,0,1,NA,0,1,48,2
2013,7/4/2013,185,0,1,NA,2,3,77,0
2013,7/5/2013,186,1,2,NA,7,16,1467,1
2013,7/6/2013,187,0,21,NA,8,130,5824,6
2013,7/7/2013,188,0,9,NA,33,69,3012,0
2013,7/8/2013,189,4,83,NA,244,401,10259,2
2013,7/9/2013,190,0,24,1,207,231,5334,17
2013,7/10/2013,191,0,19,1,182,723,6632,2
2013,7/11/2013,192,0,24,NA,137,561,956,0
2013,7/12/2013,193,0,18,0,80,821,1202,0
2013,7/13/2013,194,1,17,0,47,244,1316,2
2013,7/14/2013,195,0,39,0,87,1073,909,1
2013,7/15/2013,196,0,14,0,18,107,140,1
2013,7/16/2013,197,0,45,0,40,264,2218,0
2013,7/17/2013,198,0,63,0,118,NA,2056,0
2013,7/18/2013,199,0,19,0,23,134,166,0
2013,7/19/2013,200,0,62,0,143,501,2159,0
2013,7/20/2013,201,0,140,1,120,1299,958,0
2013,7/21/2013,202,0,51,0,51,1408,1186,0
2013,7/22/2013,203,0,139,0,38,313,384,0
2013,7/23/2013,204,0,84,0,144,509,2105,0
2013,7/24/2013,205,0,57,1,146,320,613,0
2013,7/25/2013,206,0,30,0,81,NA,1016,1
2013,7/26/2013,207,0,81,0,50,835,524,0
2013,7/27/2013,208,0,48,0,52,1725,178,1
2013,7/28/2013,209,0,109,0,59,1732,479,0
2013,7/29/2013,210,0,42,1,23,414,169,0
2013,7/30/2013,211,0,45,2,25,1322,764,1
2013,7/31/2013,212,0,48,1,8,789,276,0
2013,8/1/2013,213,0,62,3,20,1010,379,2
2013,8/2/2013,214,0,22,12,12,1231,372,0
2013,8/3/2013,215,0,15,5,28,1185,156,6
2013,8/4/2013,216,0,5,2,9,359,83,0
2013,8/5/2013,217,0,3,2,8,173,137,0
2013,8/6/2013,218,0,62,24,2,4530,1066,0
2013,8/7/2013,219,0,0,5,0,116,57,0
2013,8/8/2013,220,0,0,0,0,5,17,NA
2013,8/9/2013,221,0,3,15,19,632,177,0
2013,8/10/2013,222,0,1,8,4,512,77,0
2013,8/11/2013,223,0,0,10,6,329,79,0
2013,8/12/2013,224,0,1,3,9,139,48,0
2013,8/13/2013,225,0,0,6,7,168,63,0
2013,8/14/2013,226,0,0,0,0,40,5,0
2013,8/15/2013,227,0,1,11,2,162,46,0
2013,8/16/2013,228,NA,NA,NA,NA,NA,0,NA
2014,5/26/2014,146,NA,NA,NA,NA,NA,0,NA
2014,5/27/2014,147,NA,NA,NA,NA,NA,0,NA
2014,5/28/2014,148,NA,NA,NA,NA,NA,0,3
2014,5/29/2014,149,NA,NA,NA,NA,NA,0,3
2014,5/30/2014,150,NA,NA,NA,NA,NA,0,4
2014,5/31/2014,151,NA,NA,NA,NA,NA,0,0
2014,6/1/2014,152,NA,NA,NA,0,NA,0,7
2014,6/2/2014,153,NA,NA,NA,0,NA,0,0
2014,6/3/2014,154,NA,NA,NA,0,NA,5,3
2014,6/4/2014,155,NA,NA,NA,0,NA,0,8
2014,6/5/2014,156,NA,NA,NA,0,NA,0,7
2014,6/6/2014,157,2,NA,NA,13,NA,5980,19
2014,6/7/2014,158,1,NA,NA,2,NA,1553,4
